0,Model_0,Model_1,Model_2,Model_3,Model_4,Model_5,Model_6,Model_7,Model_8,Model_9,Model_10,Model_11,Model_12,Model_13,Model_14,Model_15,Model_16,Model_17,Model_18,Model_19,Average
GO:0102340,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GO:0007229,0.0008733071669190579,0.0,0.0,0.0,0.00039851418169294724,0.0002668577668577668,0.0,0.00028064243448858845,0.0,0.0,0.0,0.0,0.0,1.4533828686002032e-19,0.0,5.36570207429419e-05,0.0,0.0,0.0,0.0,9.364892853506513e-05
GO:0007166,0.0,0.0,0.0,0.0,0.0,2.5817134525038044e-19,9.458664788228034e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.02018912036592e-20
GO:0047975,0.0,0.0,0.0,0.0,0.0,0.0003196221739961911,3.0476710479906225e-19,3.4374976848750516e-05,0.0011007193771048794,0.0,0.0,0.00031093906093906075,0.0,0.0,0.0,0.00018175670564726703,0.0,0.00011289598419629449,0.0,0.0,0.00010301541393662218
GO:0016593,0.0,0.0,0.0,0.0,0.0,3.32599120457697e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.662995602288485e-20
GO:0034968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.15771441379419e-05,0.0,0.0,4.5788572068970954e-06
GO:0006415,0.0006723892232510905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001736652248028721,0.0,0.0,0.0,7.054673721340387e-05,0.0,0.0005816853466199669,0.0017784368120729868,0.0003040967031536244,0.0,0.0,0.00017904100235569722
GO:0045921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GO:0042791,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GO:1903934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GO:0017176,0.0,0.0,0.0,0.0,8.488146621689734e-19,0.0,1.4585282872526548e-18,0.0,0.0,0.0,0.0,1.5229334247600425e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9151381870908355e-19
GO:0030643,0.0,0.0,0.0,0.0,0.0,4.198631557122123e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.500502961812069e-05,0.0,0.0,0.0,0.0,0.0010788136392768496,1.2922495780993676e-18,5.8290249223309646e-05
GO:0032432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.578860595616658e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.289430297808329e-20
GO:0009325,0.0,0.0,0.0017935327319723551,0.0,0.0003975442834138481,0.0009567055573621158,0.0002830721003134784,0.0005656050755224811,0.0,0.0,0.0,0.0005499407379728755,0.0,0.0,0.0,3.5945035945036365e-05,0.0,0.0,0.00021202107961553843,0.0,0.00023971833010588646
GO:0015046,0.0,0.0,0.0,0.0,1.5238355239953117e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.619177619976559e-20
GO:0004803,0.0006514019439590175,0.00032611145069875937,0.0,0.0,0.00042328042328042286,0.0002048674088529254,0.0,0.0,0.0,0.0005461409314618444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.95081809006307e-05,0.0,0.0,0.00011206551695768
GO:0033229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9660910553606045e-18,0.0,1.4830455276803022e-19
GO:0018850,0.0,0.0,0.0,0.0,0.0003938902750040118,5.336115566266939e-19,0.0,0.0,0.0,0.0,0.0,8.333776445030495e-19,0.0,0.0,0.0,0.0,0.0,0.0001118027787026177,0.0,0.0,2.528465268533154e-05
GO:0001682,0.0003565554199607368,0.0,0.0,0.0,0.0,0.0,0.00024187499999999936,0.0,0.0,0.0002866047640683434,0.0,0.0,0.0,1.7869782361452078e-19,0.0,0.0,0.0,0.0,0.0,0.0,4.425175920145399e-05
GO:0031116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GO:0043631,0.0,0.0,0.0,0.0,1.0197842291864958e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00021387491013659244,0.0,0.0,0.0,0.0,0.0,0.0,1.0693745506829674e-05
GO:0008481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GO:0033389,4.750473732852946e-05,0.0005174061842031655,0.0,0.0,0.0,1.4324053925555928e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.824554607658482e-05
GO:0102121,0.00031019248769150197,0.0,0.0,0.0,0.0,0.0,0.0,0.00013876133146160965,0.0,8.226227439726045e-05,0.0,0.0,0.0,0.0,0.0,0.0003122966818477553,0.0,0.0,0.0,0.0,4.2175638769906376e-05
GO:0005355,0.00019561214279787857,0.0,0.0,0.0020849348847272555,0.0,0.0,0.0,0.0010103583903656092,0.0,0.0003152231128751838,0.0,0.0,0.0018517093063338272,4.95867768595042e-05,0.0,0.0,0.004759792646718362,0.0,0.0,0.0,0.000513360863033881
GO:0004078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GO:0005749,0.0,2.017794334072989e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.423243357423296e-05,0.0,0.0,0.0,0.0,0.0,0.0,3.711621678711749e-06
GO:0034368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GO:0031303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0510716820161842e-18,0.0,0.0,1.525535841008092e-19
GO:0071942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GO:0052596,0.0,0.0,0.0,0.0,0.0,0.00024809498493708987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3019412863343653e-19,0.0,0.0,0.0,0.00013562611674393447,0.0,0.00010687425781765391,2.452976797493392e-05
GO:0106262,0.0,0.0,0.0,0.0,0.0,1.2284205924308049e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.1421029621540245e-21
GO:0000290,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GO:0009236,0.0,0.0,0.0006108258554446777,0.0,0.0,0.0,5.897028179279186e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0002485481957179194,0.0,0.00024391004769691075,0.0,7.287733871366744e-19,0.002894078938564037,0.0023922526953767316,0.00031948078664001384
GO:0015934,0.00042817406722552617,0.0,0.0,0.0,9.7616065354784e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0002619823759292982,0.0,0.00017001180637544227,0.0,0.0,0.002093742800200194,0.0,0.0,0.0,0.00014769555248652307
GO:0015846,0.0009078905922849133,0.0,0.00033585971367099067,0.0,0.0,0.00022349814906520588,0.0028596556511248324,3.451121094440571e-19,0.0,0.00037702054817760383,0.0007663267818793256,0.0,0.0,0.0003056860089634087,0.0,0.0,0.0,0.0,0.0,0.0,0.000288796872258314
GO:0008796,0.0,0.0,0.0,0.0,0.0,0.0,3.3059097368686327e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6529548684343163e-20
GO:0043041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GO:0030136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004901188053075882,0.0,2.4505940265379408e-05
GO:0000150,0.0001567956525769569,0.0,1.5412687286752425e-18,0.0,0.0,1.8577624443770003e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002207001682930204,0.0,1.887479104349895e-05
GO:0030133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6308032763406563e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.154016381703281e-20
GO:0061672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GO:1900051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6198204950363515e-19,0.0,0.0,0.0,0.0,0.0,3.511294657464809e-19,0.0,0.0,0.0,0.0,3.5655575762505806e-20
GO:0103045,0.0,0.0020443515777217075,0.0,0.0,0.0,0.0,0.002008882140907507,0.0,0.0,0.0009708982463275807,0.0,0.0,0.0,0.0008504516493393227,0.0,0.0,0.0,0.0,0.0,0.0,0.0002937291807148059
GO:0005102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.375252883623728e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.687626441811864e-20
GO:0005615,0.0,0.0006783455349186677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007594837662645327,0.0,0.0,0.0,0.00047804039129564877,0.0,5.148945960588419e-19,0.0,0.0002505191487399887,0.0003613692595817508,0.0006416334090357845,0.0001584695754918187
GO:0046210,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GO:0061911,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6190243442655923e-18,0.0,0.0,0.0,4.9757894661071407e-20,0.0,0.0,0.0,0.0,0.0,0.0,1.3343911194633319e-19
GO:0010867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GO:0003938,0.0,0.0,0.0,0.0,0.0,0.00013017917133258653,0.0,0.0,0.0,0.00048781095996297443,0.0,0.0,0.0,0.00035079562900649255,0.0,0.0,0.0,0.0,0.0,0.0,4.8439288015102675e-05
GO:1990838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.544686214901166e-19,0.0,5.2179962894248564e-05,0.0,0.0,0.0,0.0,0.0,0.0,2.608998144712451e-06
GO:0015293,0.0,0.0011509847721715572,0.0005202808142305867,0.0,0.0,0.00021450459652706827,0.001223034675176573,0.0,0.0013582652199709577,0.0,0.0,0.0,5.075536879012045e-05,0.0,0.0,0.0004920346457311694,0.00031218516089335315,0.00024399399399399504,0.0,0.0,0.00027830196237426904
GO:0001927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GO:0044260,0.0,0.00013945782774435063,0.0003821171918186853,0.0,0.0,0.0008853288417143412,0.0004930724785336325,0.0011561810798317175,0.0009248919432254509,0.0003230371828818951,0.004009552173923541,0.0011957894530581963,0.0,0.0008719242757980382,0.0,0.0006669280275517772,0.0,0.0006211225662828563,0.002153733649038757,0.0008199905257611366,0.0007321563608582188
GO:0055105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GO:0110001,0.00023434417374123396,0.0,0.0014955019504816498,0.0,0.00031657107287359315,0.0,0.0,0.0,0.0011901685962400882,0.0,0.0,0.0,0.0,0.0,0.0,0.0006346314657746976,0.0,0.0009085766713691893,0.00152814006387471,0.0,0.00031539669971775814
GO:0045159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GO:0015483,0.0,0.0,0.0,0.0,0.0,0.0001603159581448069,0.0,0.0,0.0,0.0,0.0,0.0,0.002126289018237161,0.0,0.0,0.0,0.000701427572365209,0.0,0.0,0.0,0.00014940162743735884
GO:0007091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.649875279885037e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.8249376399425186e-20
GO:0050416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GO:0060003,0.0,0.0,0.0,0.0,0.0,0.0,1.339699953731703e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.698499768658515e-20
GO:0033750,0.0,0.0,0.0,0.0,2.954499390237767e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4772496951188836e-19
GO:0060304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00012049007138983512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.024503569491756e-06
GO:0001015,0.0,0.0,0.0,0.0,0.0,0.0,8.163796593052562e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.081898296526281e-20
