,Best parameters,Validation set indices,Threshold,Training performance,Validation performance,Test performance
0,"{'criterion': 'gini', 'max_features': 'log2', 'min_samples_leaf': 3, 'n_estimators': 700}",[24 66 13 69 32 72 54  4 12 38 17 36  2 41 46  3 27 49  5 40 25 39],0.3341,1.0,0.9529,0.8588
1,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 4, 'n_estimators': 500}",[45 76 27 12 60 80 29 65  8 22 71 82 28 40 42 41 37 85 30  7 24 73],0.3615,1.0,0.8471,0.8471
2,"{'criterion': 'gini', 'max_features': 'log2', 'min_samples_leaf': 5, 'n_estimators': 300}",[21 56 31 40 63 15 61  6 14 48  3 57 26 10 28 62 35 67 13 81 65 87],0.3084,1.0,0.6235,0.8941
3,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 4, 'n_estimators': 100}",[47 23 51 13 14 30 61 66 57 50 55 58 32 33 54  8 49 82 46 21 41 16],0.2745,1.0,0.7765,0.8471
4,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 900}",[28 15 85 74  1  7 82 65 76 31 67 37 79  9 75 77 55 35  2 81 63 51],0.3144,1.0,0.6941,0.8
5,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 2, 'n_estimators': 500}",[31  4 53 69 67 66 19 44 54 17 51 10  1  9  3 28 85 38 39  7 77 83],0.2755,1.0,0.8706,0.8235
6,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 5, 'n_estimators': 300}",[48 38 63 81 73 17 34 72 47 78 74 49 85  7 59 15 18  1 40 13 55 45],0.213,1.0,0.5176,0.6353
7,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 5, 'n_estimators': 300}",[61 17  8 65 85 71 51 82 21  0 19 28 68 64 39 83 70 29 73 55 47 43],0.461,1.0,0.7882,0.6
8,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 3, 'n_estimators': 500}",[18 56 57  8 87 55  7 24 72 58 70 77 13 86 47 79 33  0 61 42 38 66],0.3287,1.0,0.9059,0.7294
9,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 4, 'n_estimators': 700}",[19 66 22 29 54 78 70 50 35 21  9  0 24  6  2 60 28 31 81 61  7 67],0.3184,1.0,0.9529,0.8235
10,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 2, 'n_estimators': 500}",[81 10 18 47 20 59  2 84 44 50 46 14 25 85 58 86 61 21  0 65  7 71],0.1457,1.0,0.5647,0.6235
11,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 2, 'n_estimators': 500}",[ 9 20 47  0 64 37 38  5 77  7 44 70 11 58 75 48 60 57 10  3 26 87],0.2228,1.0,0.6471,0.7529
12,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 3, 'n_estimators': 500}",[83 50 69 30 57 15 42 61 75 24 74 31 38 52 87 21 81 39 51 49 66 55],0.2366,1.0,0.9059,0.8118
13,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 100}",[ 0 81  1 67  7 46 40 58 35 44  5 56 87 47 28 65 11 36 83  6 77 45],0.16,1.0,0.4706,0.6353
14,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 4, 'n_estimators': 300}",[34  7 64 63 60 17 59 31 67 57 73 30 18 83  4 84 32 55 49 37 86 79],0.3348,1.0,0.9412,0.8706
15,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 2, 'n_estimators': 100}",[20 18 30 15 79 12 36 51 63 87  6 35 69 11 32 14 75 41 64 49 27 80],0.2923,1.0,0.8588,0.6824
16,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 4, 'n_estimators': 700}",[33 45  2  5 50 14 75 62 67 83 36 18 15 49 77 27 38 78  1 43 66 52],0.3672,1.0,0.8471,0.7647
17,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 300}",[ 9 39 81 52 32 57 28 68  2 72 34 17 80 51 10 82 69 74 71 16 79 64],0.2233,1.0,0.9412,0.8529
18,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 100}",[ 2 69 62 74  5 40 21 27 19 60 42 51 24 71 10 15 73 45 43 77 12 78],0.47,1.0,0.5647,0.6294
19,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 2, 'n_estimators': 700}",[21 79 45 69  5 87 22 10 39 52 83 49 55 64  2 80 41 12 78 54  4 81],0.2772,1.0,0.7765,0.6353
