,ID,Name,Linked_OTUs,Named_linked_OTUs,Average presence in 0,Average presence in 1,Representative_group,Average presence (total),Average_importance
5,GO:0008787,D-allose kinase activity,,,0.17952694117647058,0.20211880000000004,1,0.18466145454545455,0.008854076506025235
21,GO:0018729,propionate CoA-transferase activity,,,0.48531835294117637,0.2994724,0,0.4430806363636364,0.007437855413238395
45,GO:0052665,tRNA (uracil-2'-O-)-methyltransferase activity,,,12.136500235294122,9.924839200000001,0,11.633849999999999,0.00420527408004711
83,GO:0043773,coenzyme F420-0 gamma-glutamyl ligase activity,,,0.35511411764705875,0.30150279999999996,0,0.3429297272727273,0.003697185658378887
155,GO:0033927,"glucan 1,4-alpha-maltohexaosidase activity",,,0.840357882352941,0.45315920000000004,0,0.7523581818181816,0.00334748620647273
223,GO:0043462,regulation of ATP-dependent activity,,,1.4679085882352945,0.62571,0,1.276499818181818,0.0029902046317442405
245,GO:0048678,response to axon injury,,,0.8403154117647057,0.45282120000000003,0,0.7522485454545451,0.002802975145486371
254,GO:0008750,proton-translocating NAD(P)+ transhydrogenase activity,,,1.4221262352941177,4.1747036,1,2.0477120000000006,0.002779073241491002
272,GO:0015977,carbon fixation,,,5.776982588235295,9.0395204,1,6.518468454545454,0.0027701791866321917
291,GO:0102561,"D-ribose 2,5-bisphosphate 2-phosphohydrolase activity",,,0.004380705882352941,0.015486000000000002,1,0.006904636363636364,0.002751836556113955
318,GO:0042279,"nitrite reductase (cytochrome, ammonia-forming) activity",,,11.781434941176471,9.9026688,0,11.354442636363638,0.0027342700939010293
328,GO:0019136,deoxynucleoside kinase activity,,,5.425750235294119,4.214808799999999,0,5.1505362727272725,0.002696033565440619
407,GO:0044877,protein-containing complex binding,,,1.0717839999999998,0.8251396000000001,0,1.0157284545454546,0.0026063023247363134
409,GO:0006080,substituted mannan metabolic process,,,25.871580823529396,18.6981536,0,24.241256454545447,0.00245284895743537
430,GO:0009263,deoxyribonucleotide biosynthetic process,,,5.209421529411765,6.765000400000002,1,5.5629621818181825,0.0024287860194131356
433,GO:0033856,pyridoxine 5'-phosphate synthase activity,,,25.230736705882347,22.047302799999997,0,24.507229,0.0023242535056076435
