,Best parameters,Validation set indices,Threshold,Training performance,Validation performance,Test performance
0,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 5, 'n_estimators': 900}",[74 34 32  4 58 55  5 37 60  1 81 10 39 31 46 26 69 71  0  7 50  3],0.4465,1.0,0.7529,0.6667
1,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 5, 'n_estimators': 900}",[78 21 31 52 70 22 50 40 68 58 67 24 45  3  8  7 71 62 55 17 37 51],0.2689,1.0,0.7647,0.8333
2,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 4, 'n_estimators': 700}",[86 84 41 71 29 17 24 67 69 68 59  7 22 57  3 47 14 56 25 32 55 35],0.2868,1.0,0.8941,0.75
3,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 100}",[17 32 68 22 43 69 78 35 83 49 24  8 51 79 47 11 86 60 13 70 53 39],0.06,1.0,0.6,0.5677
4,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 3, 'n_estimators': 500}",[66  4 72 43 82 77 46 78 41 15 22 39 68 83 31 67 33 58 51 48  9 47],0.3444,1.0,0.7882,0.7396
5,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 2, 'n_estimators': 100}",[11 76 34 26 22 67  7  2  1 54 83 69  6  8 39 13 60 59 86 58 44 61],0.3782,1.0,0.6706,0.8125
6,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 2, 'n_estimators': 500}",[ 6  4 77 67 56 82 10 44  2 73 58 22 74  9 11 17 32 63 38 62 33 26],0.2469,1.0,0.7647,0.7708
7,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 300}",[48 85 75 42 41 65 40 87 12 76 19 24 43 18 64 37 72 71 17  9 38 14],0.09,1.0,0.4882,0.8854
8,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 2, 'n_estimators': 100}",[70 72 83 50 16 29  6 77  5 53  1 17 18 71 31 44 64  0 66 42 27 86],0.2233,1.0,0.7882,0.8125
9,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 3, 'n_estimators': 300}",[13 81 14 68 40 76 53 36 24 66 65 59 16  5  1 45 19 21 77 46  6 50],0.3463,1.0,0.8824,0.7604
10,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 4, 'n_estimators': 100}",[ 0 66 55 27 67 56 76 30 33 86 57  8 40 44 11 74 15 85 83 78 81 80],0.3272,1.0,0.7765,0.7812
11,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 100}",[ 9 63 18 19 66 55 36 28 25 75 50 59 67 49 60 80 27 86 39 23 45 29],0.21,1.0,0.9235,0.7865
12,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 5, 'n_estimators': 900}",[15 71 65 83  3 50 53 73 10 54 44 80 23 34 40 82 33 42 75 17 85 66],0.329,1.0,0.7765,0.6979
13,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 5, 'n_estimators': 900}",[74 34 32  4 58 55  5 37 60  1 81 10 39 31 46 26 69 71  0  7 50  3],0.4465,1.0,0.7529,0.6667
14,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 5, 'n_estimators': 900}",[78 21 31 52 70 22 50 40 68 58 67 24 45  3  8  7 71 62 55 17 37 51],0.2689,1.0,0.7647,0.8333
15,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 4, 'n_estimators': 700}",[86 84 41 71 29 17 24 67 69 68 59  7 22 57  3 47 14 56 25 32 55 35],0.2868,1.0,0.8941,0.75
16,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 100}",[17 32 68 22 43 69 78 35 83 49 24  8 51 79 47 11 86 60 13 70 53 39],0.06,1.0,0.6,0.5677
17,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 3, 'n_estimators': 500}",[66  4 72 43 82 77 46 78 41 15 22 39 68 83 31 67 33 58 51 48  9 47],0.3444,1.0,0.7882,0.7396
18,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 2, 'n_estimators': 100}",[11 76 34 26 22 67  7  2  1 54 83 69  6  8 39 13 60 59 86 58 44 61],0.3782,1.0,0.6706,0.8125
19,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 2, 'n_estimators': 500}",[ 6  4 77 67 56 82 10 44  2 73 58 22 74  9 11 17 32 63 38 62 33 26],0.2469,1.0,0.7647,0.7708
