0,Model_0,Model_1,Model_2,Model_3,Model_4,Model_5,Model_6,Model_7,Model_8,Model_9,Model_10,Model_11,Model_12,Model_13,Model_14,Model_15,Model_16,Model_17,Model_18,Model_19,Average
GO:0102340,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00048827982639716824,0.0,0.0,0.00015050521487367422,3.1939252063542124e-05
GO:0007229,0.00034228686394164595,0.009706047603039097,0.0,0.0,0.0,0.0015688430127883287,0.0,0.0,4.036182374184262e-05,0.0,0.0,0.0,0.0,0.0,0.00014906163880547125,0.0005227665573891856,0.0015400844700069443,7.265128273531611e-05,0.0005627614434353117,0.0007443603683553646,0.0007624612532119254
GO:0007166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GO:0047975,0.001339838478735696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2736048667832926e-05,0.0,0.0,0.0,0.0,0.0,0.002663758526586349,0.0,0.0017606592388954663,0.0007422743654627715,0.0007432371770749642,0.0,0.00036462519177115396
GO:0016593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.072855738447974e-05,0.0,0.0,3.5364278692239868e-06
GO:0034968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GO:0006415,0.0,0.0,0.0,0.0,0.0,0.00019964041375767217,0.0,0.0,0.0,0.0,0.0,9.355893712908434e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4659967544337826e-05
GO:0045921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GO:0042791,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GO:1903934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GO:0017176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GO:0030643,0.0003722801457907857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3428292556603176e-05,0.0,2.0285421917369443e-05
GO:0032432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.688183866016167e-19,0.0,0.0,0.0,2.844091933008084e-20
GO:0009325,0.0,0.006147012229240419,0.0,0.0,0.0,0.0,0.0,0.002062693006503166,0.00027441687818428173,0.0,0.0,0.0,0.0,0.0,0.0012674901605636026,0.0,0.00038034667664296805,6.719117477866032e-05,0.00016969633548809027,0.00022858574324038353,0.0005298716102320785
GO:0015046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GO:0004803,0.00037595133985776196,0.0,0.0,0.0,0.0,0.0,0.0,0.001678390191385455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00035628181393743575,0.0,0.0,0.00044559013306983466,0.0001428106739125244
GO:0033229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GO:0018850,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001240097880635398,0.0,0.0,0.0,0.0,0.0,0.0003833506290321586,0.0,0.0,2.5368020854784918e-05
GO:0001682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0023446727349367936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0768747466537378e-19,0.0,0.0,8.689458689458695e-05,0.00012157836609156903
GO:0031116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GO:0043631,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GO:0008481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GO:0033389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018229738633867808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.117921747154146e-05,0.0003679283724942784,0.0001332446920417367,6.846240179573527e-05,0.00012368942735950362
GO:0102121,0.0,0.0,0.0,0.0,0.0,1.0801811652017114e-18,0.0,0.0,0.00017990217901571836,0.0,0.0,0.001097981309693648,0.0,0.0,0.0,0.0,0.0005536837975274263,0.0,0.0,0.0,9.157836431183967e-05
GO:0005355,0.00039898312834361465,0.0,0.0,0.0,0.0,0.0004209900422082647,0.0,0.0,0.0,0.0,0.0029964897066278875,0.0006752065086800491,0.0,0.0,0.0,0.0,0.0007572855181534835,0.0,0.0,0.0,0.00026244774520066497
GO:0004078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
