,Best parameters,Validation set indices,Threshold,Training performance,Validation performance,Test performance
0,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 3, 'n_estimators': 700}",[30  0 56 45 40 13  1 78 58 20 80  6 50 77 66 36 14 63 55 23 49 64],0.2951,1.0,0.8824,0.8118
1,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 3, 'n_estimators': 900}",[81 27 77 67 39 17 35 76  9 62 47 71 60  0 15 22  5 56 24 69  6 19],0.24,1.0,0.6706,0.8941
2,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 5, 'n_estimators': 500}",[ 7 75 10  0 69 71 21 31 50 80 87 26 63 68 61 33 82 37 77 86 18 39],0.3217,1.0,0.6941,0.9059
3,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 3, 'n_estimators': 100}",[59 31 41  8 48 71 49 28 62 37 52 42 27  9 12 67 66 25 10  1 75 13],0.3702,1.0,0.6471,0.6471
4,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 2, 'n_estimators': 100}",[62 40 77 87 11  6  9 45 30 83 39 53 32 28 17 27 21 70  3 69 42 43],0.3053,1.0,0.7765,0.9765
5,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 3, 'n_estimators': 100}",[43 27 62 20 45 55 31 24 74 85 16 61 71 47 33 56 81  8  3 32 10 60],0.339,1.0,0.9176,0.9176
6,"{'criterion': 'gini', 'max_features': 'log2', 'min_samples_leaf': 2, 'n_estimators': 100}",[11 75 65 51 85 16 64 53  2 12 47 21 39 34 22 69  9 27 38 29 37 28],0.329,1.0,0.7647,0.7647
7,"{'criterion': 'gini', 'max_features': 'log2', 'min_samples_leaf': 1, 'n_estimators': 700}",[28 45 25 55 35 86 12 84 34 75 23 61 63 26 14  2 59 54 43 62 57 76],0.2557,1.0,0.6353,0.8706
8,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 900}",[13 49 25 57 46 17 62 56 16 75 36  7 23 66 15 29 12 58 33  3 63 67],0.2878,1.0,0.7824,0.8471
9,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 5, 'n_estimators': 100}",[26 83 66 65  5 87 21 13 37 50 85 44 53 60  1 79 38  7 77 52  4 80],0.4097,1.0,0.5647,0.7294
10,"{'criterion': 'gini', 'max_features': 'log2', 'min_samples_leaf': 5, 'n_estimators': 100}",[17 52  5  4 80 69 18 59 55  6 21 85  7 12 78 53 34 35 72 41 50 79],0.2923,1.0,0.6235,0.8
11,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 3, 'n_estimators': 100}",[82 25  4 46 70 65 15 55 67 37 29 79 59 36  1 87  9 44 32 83 40 31],0.5796,1.0,0.5059,0.7882
12,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 3, 'n_estimators': 300}",[37 21 48 66 27 51 41 42 45 58 63 76 50 24 14 30 22 49 75 77  2 68],0.2723,1.0,0.6941,0.8
13,"{'criterion': 'gini', 'max_features': 'log2', 'min_samples_leaf': 2, 'n_estimators': 100}",[28 25 52 26 83 13 34 49 84 57 85 63 67  6 87 16 42 68 38 35 59 41],0.1388,1.0,0.3765,0.7176
14,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 2, 'n_estimators': 500}",[10 48 69  5  8 72 84  0 11 66  4 81 61 82 70 77  1 55 53 37 18 42],0.2945,1.0,0.8235,0.9647
15,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 2, 'n_estimators': 700}",[33 32 63 46 17 26 65  0 24 78  5 25 34 61 86 53 21 39 38 84 16 19],0.2234,1.0,0.6588,0.8941
16,"{'criterion': 'gini', 'max_features': 'log2', 'min_samples_leaf': 4, 'n_estimators': 500}",[72 77 24 26  0 69 61 22 85 30  5 20 65  2 80 86 62 34 51 57 55 53],0.3282,1.0,0.6471,0.8
17,"{'criterion': 'gini', 'max_features': 'log2', 'min_samples_leaf': 1, 'n_estimators': 300}",[ 3  8 14 32 12 18 16 38 52 24 68  7 60  2 73 10 54 81 78 42 36 21],0.2167,1.0,0.6882,0.7647
18,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 100}",[37 35 23 58 14 84 57 68  6 19 12  1 82  0 69 38 18 27 13 52 46 30],0.16,1.0,0.8588,0.9412
19,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 3, 'n_estimators': 500}",[70 86 66 71 33 31  7 74 21 34 38 78 24 35 44 59 41 12 53  6 84 73],0.2653,1.0,0.8353,0.8706
