0,Model_0,Model_1,Model_2,Model_3,Model_4,Model_5,Model_6,Model_7,Model_8,Model_9,Model_10,Model_11,Model_12,Model_13,Model_14,Model_15,Model_16,Model_17,Model_18,Model_19,Average
GO:0009378,0.0,0.0007236548269941929,0.0,0.0,0.0,0.0,0.0,5.4421768707483755e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.326585046117902e-18,0.0,0.0,0.0,0.0,3.8903829785083944e-05
GO:1990328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.272472516567181e-19,0.0,0.0,0.0,0.0,1.1362362582835905e-20
GO:0046316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003573973041801463,1.8286026287943739e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.000429965925526162,0.0007705346109504119,0.0,0.0,0.0,7.789489203283602e-05
GO:0000118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GO:0008526,5.8054085831864304e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.989678462824086e-19,0.0,2.9027042915932354e-06
GO:0008787,0.000498517345374285,0.0,0.0009766367890794699,0.0,0.0,0.0,0.003526297221365014,0.0,0.000779064369052035,0.0,0.0,0.0,4.856988667026398e-05,0.0,0.00022450412840868878,0.0019853505722572983,0.0002514502078346718,0.0011186716755013325,0.0,0.0012832478958775008,0.000534615504571028
GO:0031578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8921776271747743e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4460888135873873e-20
GO:0071788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GO:0008935,0.0,4.226071547502957e-19,0.0,0.0,0.00020162246036285533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.158571918357383e-20,0.00040987928110070053,0.0,0.0,0.0,3.0575087073177815e-05
GO:0006493,0.0,0.0003254301341908469,0.0,0.0,0.0,0.0,0.001810845171632303,3.058777720906039e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0003775908118804869,0.00026318679972203317,0.0,0.0,0.0,0.0,0.00013885264587128353
