,Best parameters,Validation set indices,Threshold,Training performance,Validation performance,Test performance
0,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 2, 'n_estimators': 100}",[75 35 20 79 73 44 26 85 39 72 65 84 21 15 45 48 14 86 18 68  9 69],0.308,1.0,0.9176,0.6042
1,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 4, 'n_estimators': 500}",[29 47 37  3 15 80 69 55  6  0 85  8 66 63 14 34 39 17 72 26 32 82],0.2539,1.0,0.9059,0.6667
2,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 900}",[74 54 28 85 60  0 56 51 41 64 44 15 66 10 14 18 47  3 78 77 80 26],0.1956,1.0,0.8235,0.6042
3,"{'criterion': 'gini', 'max_features': 'log2', 'min_samples_leaf': 1, 'n_estimators': 100}",[76  9 45 21 58 30 68 39 49 61 51 11 40 71 67 37 74 78 25 16 24 38],0.16,1.0,0.6294,0.7031
4,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 4, 'n_estimators': 100}",[62 36 52 30 27 20 38 78 46 73 21 28 66 35 16 57 37 58 79 82 77 86],0.2217,1.0,0.8588,0.6667
5,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 2, 'n_estimators': 300}",[49 46 13 47 25 83 29 52 18 14 38 59 71 39 32 24 68 75 77 72 67 58],0.2528,1.0,0.6353,0.6771
6,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 4, 'n_estimators': 500}",[15 64 74 78  5 85 16 18 45 50 84 65 19 82 44 17 71 25 20 53  4 56],0.271,1.0,0.8,0.7188
7,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 5, 'n_estimators': 100}",[14 22 23 80 38 12 76 20 54  4 43 56 67 61 70 82 40 52 62  3 51 29],0.3597,1.0,0.9294,0.5938
8,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 5, 'n_estimators': 700}",[34 81 26 68 71 55 17 37  6 66 46 73 49 38 21 80 77  3 64 62 33 56],0.2955,1.0,0.8588,0.7083
9,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 3, 'n_estimators': 700}",[37 51 36 31 46 44 75 14 33 17 61 22 43 68 50 64 57 69 34 27 59 16],0.2877,1.0,0.9059,0.625
10,"{'criterion': 'gini', 'max_features': 'log2', 'min_samples_leaf': 1, 'n_estimators': 500}",[69 34 30 18 10 52 78  4 41 74  5 73  9 37 86 27 12 83 80 20 43 35],0.184,1.0,0.8588,0.6771
11,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 5, 'n_estimators': 900}",[ 8 37 18 45 69 11 49 44 10 71 27 61 16 74  9 67  7 46 24  2 50 78],0.2559,1.0,0.8588,0.625
12,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 2, 'n_estimators': 700}",[72 58 63 38 81 53 14 12 55 30 80 66 87 50 68  0 25 28 73 24 75 77],0.2596,1.0,0.7294,0.7708
13,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 900}",[39 80 36 86 70 85 15 57 60 77 58 19  9 47 83 75 52 34 54 76 42 63],0.3267,1.0,0.6706,0.6562
14,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 5, 'n_estimators': 500}",[ 7 34 76 57 38 49 72 24 60 33 40 27 21 85 82 54 32 74 25 20 26 78],0.3933,1.0,0.7412,0.625
15,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 4, 'n_estimators': 300}",[86 29 38 54 37 35 32 33 64 80 77 68 75 25 11 59 20 56 53 18 62  5],0.2967,1.0,0.8118,0.7292
16,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 4, 'n_estimators': 900}",[33 82 34 55 48 73 18 32 13 24  4 28 44 78 45 12 77  7 25 81 86 69],0.3641,1.0,0.9176,0.6771
17,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 300}",[70 73 87 74 24 32 71  0 35 13 25  1  4 56 66 22 81 62 50  5  7 43],0.23,1.0,0.8059,0.7135
18,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 5, 'n_estimators': 500}",[83 76 54 81 45 28 23  6 72 67 32 20 71 22 37 56 19 75 26 77 36 66],0.3019,1.0,0.8706,0.6354
19,"{'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 4, 'n_estimators': 100}",[13 51 43 24 48 67 49 70 26  1 83 29 81  5  7 38 68 46 32 18 36 22],0.2146,1.0,0.7529,0.6042
