0,Model_0,Model_1,Model_2,Model_3,Model_4,Average
GO:0102340,0.0,0.0,0.0,0.0,0.0,0.0
GO:0007229,0.0020563119216638823,0.00037488770416851117,0.00037449391227274383,0.0,0.00015291253631548264,0.0005917212148841241
GO:0007166,0.0,0.0,0.0,0.0,0.0,0.0
GO:0047975,0.0026947738954297166,0.0,0.0008804431867184665,0.00113443416616236,0.00026426508970994717,0.0009947832676040981
GO:0016593,0.0,0.0,0.0,0.0,0.0,0.0
GO:0034968,0.0,0.0,0.0,0.0,0.0,0.0
GO:0006415,0.0,0.0,0.0,0.0,0.0,0.0
GO:0045921,0.0,0.0,0.0,0.0,0.0,0.0
GO:0042791,0.0,0.0,0.0,0.0,0.0,0.0
GO:1903934,0.0,0.0,0.0,0.0,0.0,0.0
GO:0017176,0.0,0.0,0.0,0.0,0.0,0.0
GO:0030643,0.0,0.0,0.0003122589436804926,0.0,6.44151243249824e-05,7.5334813601095e-05
GO:0032432,6.540809981625513e-19,0.0,0.0,0.0,0.0,1.3081619963251026e-19
GO:0009325,0.0,0.00030127316411836746,0.0,0.0,0.0,6.025463282367349e-05
GO:0015046,0.0,0.0,0.0,0.0,0.0,0.0
GO:0004803,0.0013490820349993627,0.0,0.00023677319358382507,0.00034411519573243214,0.0,0.000385994084863124
GO:0033229,0.0,0.0,0.0005035888008090089,0.0,0.0,0.00010071776016180177
GO:0018850,0.0,0.0,0.0,0.0,0.0,0.0
GO:0001682,0.0,2.9677660183547858e-05,0.0012725092382138432,0.0,0.0,0.0002604373796794782
GO:0031116,0.0,0.0,0.0,0.0,0.0,0.0
GO:0043631,0.0,0.0,0.0,0.0,0.0,0.0
GO:0008481,0.0,0.0,0.0,0.0,0.0,0.0
GO:0033389,0.0,0.00013434813037392588,0.0,0.0,0.0,2.6869626074785178e-05
GO:0102121,0.0,0.0005759064332777677,0.00020109262200712118,0.0,0.00023056737642450907,0.00020151328634187958
GO:0005355,0.0005072519683893084,0.0,0.0,0.00019830104153137582,0.0013069884135618428,0.0004025082846965054
GO:0004078,0.0,0.0,0.0,0.0,0.0,0.0
GO:0005749,0.0,0.0,0.0,0.0,0.0,0.0
GO:0034368,0.0,0.0,0.0,0.0,0.0,0.0
