0,Model_0,Model_1,Model_2,Average
GO:0102340,0.0,0.0,0.0,0.0
GO:0007229,0.0,0.0,0.0,0.0
GO:0007166,0.0,0.0,0.0,0.0
GO:0047975,0.0,0.0,0.0038534433570654105,0.0012844811190218036
GO:0016593,0.0,0.0,0.0,0.0
GO:0034968,0.0,0.0,0.0,0.0
GO:0006415,0.0,0.0,0.0,0.0
GO:0045921,0.0,0.0,0.0,0.0
GO:0042791,0.0,0.0,0.0,0.0
GO:1903934,0.0,0.0,0.0,0.0
GO:0017176,0.0,0.0,0.0,0.0
GO:0030643,0.0,0.0,0.0,0.0
GO:0032432,0.0,0.0,0.0,0.0
GO:0009325,0.00025213027037844564,9.147208377060653e-19,0.0,8.404342345948218e-05
GO:0015046,0.0,0.0,0.0,0.0
GO:0004803,0.0,0.0,0.0,0.0
GO:0033229,0.0,0.0,0.0,0.0
GO:0018850,0.0,0.0,0.0,0.0
GO:0001682,1.0253078685749834e-05,0.0,0.0,3.4176928952499447e-06
GO:0031116,0.0,0.0,0.0,0.0
GO:0043631,0.0,0.0,0.0,0.0
GO:0008481,0.0,0.0,0.0,0.0
GO:0033389,0.0,0.0,0.0,0.0
GO:0102121,0.00013171880334982312,0.0,0.0,4.390626778327437e-05
GO:0005355,0.0,0.0,0.0,0.0
GO:0004078,0.0,0.0,0.0,0.0
GO:0005749,0.0,0.0,0.0,0.0
GO:0034368,0.0,0.0,0.0,0.0
GO:0031303,0.0,0.0,0.0,0.0
GO:0071942,0.0,0.0,0.0,0.0
GO:0052596,9.990726592628662e-06,0.0,0.0,3.330242197542887e-06
GO:0106262,0.0,0.0,0.0,0.0
GO:0000290,0.0,0.0,0.0,0.0
GO:0009236,0.00043523344612444136,0.0028669164359016175,0.0,0.0011007166273420195
GO:0015934,3.513394817742652e-05,0.0,0.0,1.1711316059142173e-05
GO:0015846,0.0002492542917118973,0.0,0.0,8.308476390396577e-05
GO:0008796,9.971598137717987e-05,0.0,0.0,3.3238660459059956e-05
GO:0043041,0.0,0.0,0.0,0.0
GO:0030136,0.0,0.0,0.0,0.0
GO:0000150,1.0887741221937797e-05,0.0,0.0,3.6292470739792657e-06
GO:0030133,0.0,0.0,0.0,0.0
GO:0061672,0.0,0.0,0.0,0.0
GO:1900051,0.0,0.0,0.0,0.0
GO:0103045,0.0,0.0,7.677013535600841e-05,2.559004511866947e-05
GO:0005102,0.0,0.0,0.0,0.0
GO:0005615,0.0,0.0036990203352349773,0.0,0.0012330067784116592
GO:0046210,0.0,0.0,0.0,0.0
GO:0061911,0.0,0.0,0.0,0.0
GO:0010867,0.0,0.0,0.0,0.0
GO:0003938,0.00020353687020353725,0.0,0.0,6.784562340117908e-05
GO:1990838,0.0,0.0,0.0,0.0
GO:0015293,0.0,0.0,0.0,0.0
GO:0001927,0.0,0.0,0.0,0.0
GO:0044260,0.002000794916180861,0.0,0.0,0.0006669316387269537
GO:0055105,0.0,0.0,0.0,0.0
GO:0110001,0.00015104758090325683,0.0,0.0,5.0349193634418946e-05
GO:0045159,0.0,0.0,0.0,0.0
GO:0015483,0.0,0.0,0.0,0.0
GO:0007091,0.0,0.0,0.0,0.0
GO:0050416,0.0,0.0,0.0,0.0
GO:0060003,0.0,0.0,0.0,0.0
GO:0033750,0.0,0.0,0.0,0.0
GO:0060304,0.0,0.0,0.0,0.0
GO:0001015,0.0,0.0,0.0,0.0
GO:0005983,0.0,0.0,0.0,0.0
GO:0097030,0.0,0.0,0.0,0.0
GO:0060548,0.0,0.0,0.0,0.0
GO:0001080,0.0,0.0,0.0,0.0
GO:0006887,0.0,0.0,0.0,0.0
GO:0072545,0.0,0.0,0.0,0.0
GO:0006979,0.0,0.0,0.0,0.0
GO:0050378,0.00034922444165499933,0.0,0.0,0.0001164081472183331
GO:0046889,0.0,0.0,0.0,0.0
GO:0006631,0.0,0.0,0.0,0.0
GO:0015453,0.0,0.0,0.0,0.0
GO:0040001,0.0,0.0,0.0,0.0
GO:0052934,0.0,0.0,0.0,0.0
GO:1902554,0.0,0.0,0.0,0.0
GO:0043529,0.0,0.0,0.0,0.0
GO:0034638,0.0,0.0,0.0,0.0
GO:1905184,0.0,0.0,0.0,0.0
GO:1990841,0.0,0.0,0.0,0.0
GO:0006842,0.0,0.0,0.0,0.0
GO:0008168,0.00014626344504268493,0.0,0.0,4.875448168089498e-05
GO:0019354,0.0,0.0,0.0014332247557003227,0.0004777415852334409
GO:0015925,0.00048761870591500385,0.0029175440035731485,0.0,0.0011350542364960507
