0,Model_0,Model_1,Model_2,Average
GO:0009378,0.00018351214003388272,0.0,0.0,6.117071334462757e-05
GO:1990328,0.0,0.0,0.0,0.0
GO:0046316,0.0,4.305667885330031e-05,0.0,1.4352226284433437e-05
GO:0000118,0.0,0.0,0.0,0.0
GO:0008526,0.0,0.0,0.0,0.0
GO:0008787,0.0009710637584301667,0.005316979086316826,6.325221619117959e-19,0.0020960142815823314
GO:0031578,0.0,0.0,0.0,0.0
GO:0071788,0.0,0.0,0.0,0.0
GO:0008935,0.0,0.0,0.0,0.0
GO:0006493,0.0006271456481835172,0.0,0.00012057608574299414,0.0002492405779755038
GO:0070056,0.0,0.0,0.0,0.0
GO:0050140,0.0,0.0,0.0,0.0
GO:0070025,0.0,0.0,0.0,0.0
GO:0050343,0.0,0.00033430898799917484,0.0,0.00011143632933305828
GO:0006067,0.0,0.0,0.0,0.0
GO:0106029,0.0,0.0,0.0,0.0
GO:0052692,0.0,0.0,0.00040242290748898635,0.00013414096916299545
GO:0016120,0.0,0.0,0.0,0.0
GO:0000121,0.0,0.0,0.0,0.0
GO:1905117,0.0,0.0,0.0,0.0
GO:1901799,0.0,0.0,0.0,0.0
GO:0018729,0.0,0.0003908783123720338,0.0,0.00013029277079067793
GO:0000821,0.0,1.9412646185181022e-19,0.0,6.470882061727007e-20
GO:0004133,1.0669497625795531e-05,0.00010674773046212612,0.0,3.913907602930721e-05
GO:0006646,0.0,0.0,0.0,0.0
GO:0003884,0.0,0.0,0.0,0.0
GO:0000922,0.0,0.0,0.0,0.0
GO:0046208,0.0,0.0,0.0,0.0
GO:0052832,0.0,0.00030768417928353134,0.0,0.00010256139309451044
GO:0006879,0.001344267141051804,5.935320570053725e-19,0.0025249556973919746,0.0012897409461479264
GO:0071453,0.0,0.0,0.0,0.0
GO:0015891,0.0,0.0,0.0,0.0
GO:0031468,0.0,0.0,1.5605204532766798e-18,5.201734844255599e-19
GO:0009390,0.0,0.0,0.0,0.0
GO:0015140,0.0,0.0,0.0,0.0
GO:0055130,0.0,0.0,0.0,0.0
GO:0006213,0.0,0.00022393527467730865,0.0,7.464509155910288e-05
GO:0004530,0.0,0.00042635843289439676,0.0,0.0001421194776314656
GO:0008933,0.0,0.0,0.0,0.0
GO:0051026,0.0,0.0,0.0,0.0
GO:0019062,0.0,0.00037649499420049136,0.0,0.00012549833140016378
