,ID,Name,Linked_OTUs,Named_linked_OTUs,Average presence in 0,Average presence in 1,Representative_group,Average presence (total),Average_importance
5,GO:0008787,D-allose kinase activity,,,0.17952694117647058,0.20211880000000004,1,0.18466145454545455,0.009385029609428865
29,GO:0006879,intracellular iron ion homeostasis,,,42.224486235294115,35.6873708,0,40.7387781818182,0.0060047332099083224
44,GO:0016297,fatty acyl-[ACP] hydrolase activity,,,43.06894082352943,36.0941472,0,41.48376045454547,0.005565440586865725
45,GO:0052665,tRNA (uracil-2'-O-)-methyltransferase activity,,,12.136500235294122,9.924839200000001,0,11.633849999999999,0.00512971857735008
130,GO:0102148,N-acetyl-beta-D-galactosaminidase activity,,,90.84058305882358,74.3141464,0,87.0845747272728,0.004801533694962035
194,GO:0062193,D-ribose pyranase activity,,,6.995696117647058,6.879930400000001,0,6.969385727272723,0.004409165650868515
223,GO:0043462,regulation of ATP-dependent activity,,,1.4679085882352945,0.62571,0,1.276499818181818,0.004257434090204629
254,GO:0008750,proton-translocating NAD(P)+ transhydrogenase activity,,,1.4221262352941177,4.1747036,1,2.0477120000000006,0.004194228151348172
275,GO:0043805,indolepyruvate ferredoxin oxidoreductase activity,,,29.728084705882345,25.1583636,0,28.689511727272713,0.004014869727172825
301,GO:0004787,thiamine diphosphate phosphatase activity,,,0.0726424705882353,0.0295948,0,0.06285890909090909,0.003897612064318415
323,GO:0042398,cellular modified amino acid biosynthetic process,,,0.8405872941176473,0.6756511999999999,0,0.8031018181818184,0.003847951758915938
333,GO:0031047,regulatory ncRNA-mediated gene silencing,,,0.164745294117647,0.3055648,1,0.19674972727272724,0.00383394207812298
343,GO:0005992,trehalose biosynthetic process,,,14.334038588235291,8.7665068,0,13.068690454545452,0.0037059436198262122
353,GO:0004114,"3',5'-cyclic-nucleotide phosphodiesterase activity",,,0.4600352941176471,0.2150832,0,0.4043643636363636,0.0036937538029789313
429,GO:0006725,Not Found,,,13.603804000000002,16.681254799999998,1,14.303224636363643,0.0035173021571864795
493,GO:0016651,"oxidoreductase activity, acting on NAD(P)H",,,15.220062823529418,16.768520799999997,1,15.571985090909093,0.0034902539095575864
504,GO:0015649,2-keto-3-deoxygluconate:proton symporter activity,,,0.6250024705882353,0.9341351999999999,1,0.6952599090909092,0.0034843991535921464
548,GO:0005839,proteasome core complex,,,4.956312,5.691359600000001,1,5.123368272727272,0.0033941492543945067
609,GO:0010349,L-galactose dehydrogenase activity,,,6.749338588235296,3.489506800000001,0,6.008467727272724,0.0033576659975251325
621,GO:0004038,allantoinase activity,,,0.9829017647058826,0.4816152000000001,0,0.8689730000000001,0.003271220891573516
646,GO:0004135,"amylo-alpha-1,6-glucosidase activity",,,37.41024964705884,28.397403600000008,0,35.36187554545456,0.003260425469698637
677,GO:0004784,superoxide dismutase activity,,,24.700008941176463,22.512294399999995,0,24.20280109090908,0.0031472884961335074
699,GO:0051391,tRNA acetylation,,,0.1702364705882353,0.15545360000000003,0,0.16687672727272726,0.003128788280098002
726,GO:0047360,undecaprenyl-phosphate galactose phosphotransferase activity,,,8.092816823529411,5.783217200000001,0,7.567907818181818,0.003063659818264574
743,GO:0015821,methionine transport,,,0.021549647058823524,0.1502488,1,0.05079945454545454,0.0030192070906588267
800,GO:0106251,N4-acetylcytidine amidohydrolase activity,,,0.7924810588235294,0.6416620000000001,0,0.7582040000000002,0.0029946904664572087
818,GO:0015171,amino acid transmembrane transporter activity,,,15.644177882352944,23.2524268,1,17.37332536363636,0.0028240345553587998
822,GO:0031515,tRNA (m1A) methyltransferase complex,,,2.0563747058823525,4.5122808,1,2.614535181818181,0.0027649562235892967
834,GO:0046110,xanthine metabolic process,,,42.26957411764705,49.273578400000005,1,43.86139327272724,0.002762492014023921
852,GO:0006051,N-acetylmannosamine metabolic process,,,10.288199647058825,14.7535528,1,11.303052636363637,0.002725161289994787
880,GO:0010142,"farnesyl diphosphate biosynthetic process, mevalonate pathway",,,0.3505821176470588,0.5130459999999999,1,0.3875057272727273,0.0027160305103426457
891,GO:0097056,Not Found,,,13.02237870588235,18.4309528,1,14.251600090909093,0.0026859803607155275
910,GO:0015446,ATPase-coupled arsenite transmembrane transporter activity,,,2.9809385882352943,2.104638,0,2.7817793636363644,0.0026520774765585466
967,GO:0033573,high-affinity iron permease complex,,,4.161823529411764,7.1548496,1,4.842056727272727,0.0026357416332826304
994,GO:0009346,ATP-independent citrate lyase complex,,,0.9290943529411764,1.6010631999999998,1,1.0818145454545454,0.0026341558843812948
998,GO:0003842,1-pyrroline-5-carboxylate dehydrogenase activity,,,8.73040117647059,5.711212000000001,0,8.044221818181818,0.0025750818233036313
1022,GO:0008254,3'-nucleotidase activity,,,5.598126823529411,3.8077632000000006,0,5.191226000000001,0.002546125553870278
1023,GO:0016811,"hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amides",,,19.203970588235293,28.1909492,1,21.246465727272717,0.002491683652149164
1027,GO:0052588,diacetyl reductase ((S)-acetoin forming) (NAD+) activity,,,0.045182117647058824,0.144838,1,0.06783118181818182,0.0024363155101965253
1095,GO:0032324,molybdopterin cofactor biosynthetic process,,,26.19567788235295,34.565466799999996,1,28.097902636363646,0.0024066245230564454
1106,GO:0046522,S-methyl-5-thioribose kinase activity,,,0.23989917647058823,0.2787703999999999,1,0.24873354545454543,0.0024005489687244485
1120,GO:0004322,ferroxidase activity,,,8.077799764705883,6.095558,0,7.627290272727275,0.002386170589102542
1171,GO:0008788,"alpha,alpha-phosphotrehalase activity",,,0.10804223529411763,0.4377747999999999,1,0.18298145454545456,0.0023622241012128957
1244,GO:0019557,L-histidine catabolic process to glutamate and formate,,,64.53486682352943,62.570889599999994,0,64.08850836363635,0.0023505633777959048
1259,GO:0016840,carbon-nitrogen lyase activity,,,34.2792470588235,29.507794000000004,0,33.19482590909088,0.002346767417688174
1347,GO:0045893,positive regulation of DNA-templated transcription,,,5.460697647058824,7.140062,1,5.842371363636364,0.0023351113371283395
1358,GO:0103047,methyl beta-D-glucoside 6-phosphate glucohydrolase activity,,,6.914294823529412,11.4382628,1,7.942469363636361,0.0021856386384615754
1411,GO:0005940,septin ring,,,0.8159607058823525,1.4217535999999997,1,0.9536409090909088,0.0021677098650906587
