,d_output_folder_seed174_run2,d_output_folder_seed463_run1,d_output_folder_seed596_run3,d_output_folder_seed759_run4
0,0.5,0.8941,0.9167,0.6667
1,0.625,0.7529,0.8889,0.6944
2,0.8125,0.8588,0.7639,0.7778
3,0.6771,0.9529,0.8194,0.6667
4,0.7552,0.8706,0.7917,0.5972
5,0.6146,0.8353,0.8056,0.5278
6,0.75,0.9176,0.8611,0.625
7,0.6562,0.7529,0.7431,0.5278
8,0.625,0.7765,0.9028,0.625
9,0.5521,0.8235,0.8472,0.5278
10,0.7083,0.8941,0.9028,0.625
11,0.6562,0.8118,0.8333,0.5278
12,0.6771,0.8706,0.8889,0.625
13,0.7031,0.7765,0.8333,0.5278
14,0.651,0.7765,0.9028,0.625
15,0.5729,0.6353,0.9167,0.5278
16,0.7812,0.9294,0.875,0.625
17,0.6562,0.9059,0.7361,0.5278
18,0.6146,0.8353,0.9028,0.625
19,0.625,0.9176,0.8056,0.5278
