,IBD-output_folder_seed127_Run_1_MasterSeed_45,IBD-output_folder_seed127_Run_2_MasterSeed_934,IBD-output_folder_seed127_Run_3_MasterSeed_638,IBD-output_folder_seed127_Run_4_MasterSeed_594
0,0.8,0.7765,0.7647,0.6706
1,0.8118,0.7765,0.7529,0.6824
2,0.8176,0.7412,0.7765,0.6353
3,0.7647,0.9176,0.7529,0.7529
4,0.7294,0.7647,0.7176,0.6471
5,0.8,0.9059,0.8,0.6706
6,0.6471,0.8824,0.7059,0.4941
7,0.8353,0.7176,0.8529,0.6353
8,0.8235,0.7882,0.7176,0.7059
9,0.7765,0.8471,0.8235,0.6588
10,0.5882,0.8235,0.6765,0.5706
11,0.9176,0.7176,0.8,0.7529
12,0.8353,0.8706,0.8471,0.6059
13,0.8353,0.8941,0.6941,0.5471
14,0.8471,0.7412,0.8353,0.4706
15,0.6294,0.8118,0.7059,0.8353
16,0.7412,0.8824,0.7765,0.6824
17,0.8353,0.8,0.8824,0.5882
18,0.7882,0.7176,0.7059,0.5059
19,0.6824,0.7882,0.7647,0.6
