sampleID	MH0002	MH0003	MH0006	MH0009	MH0011	MH0012	MH0014	MH0016	MH0020	MH0021	MH0024	MH0025	MH0026	MH0028	MH0030	MH0031	MH0032	MH0033	MH0034	MH0035	MH0036	MH0037	MH0038	MH0039	MH20040	MH20041	MH20042	MH20043	MH20044	MH20045	MH20046	MH20047	MH20048	MH20049	MH20050	MH20051	MH20052	MH20053
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter|s__Methanobrevibacter_smithii	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	0.0804958218721779	0.0627230752359994	0.350659445516741	0.208106226390452	0.319699301468353	0.275181873298677	0.636528924109605	0.56199019365424	0.821537955820681	0.268714642791634	0.000916124226398765	0.452301976061548	0.0463254103017823	0.520497623683491	0.40276870543329	0.282038995055577	0.0629997505535286	0.250197244235577
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter|s__Methanobrevibacter_unclassified	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0.298929730411938	0.0345378451903965	0.439742513531313	0.0487752848054782	0.00569773668167283	0.353989790945097	0.334150308157601	0.294139308868977	0.161476438636435	0.385140103581593	0.1265572455344	0.637354223468561	0.165153436797102	0.0393380926124807	0.624055647410538	0.613456477107804	0.0901994995635353	0.371667354038849
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanosphaera|s__Methanosphaera_stadtmanae	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	0.967405399169934	0.980869114111227	0.949903694185274	0.392980509986351	0.757421683114744	0.229309851456131	0.229103491553818	0.788459074283036	0.908278463702147	0.729507078713706	0.405487325257315	0.374600350051524	0.312545082775522	0.180472963783619	0.23168681253903	0.146887357501315	0.850202035385999	0.57748514688691
k__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Acidobacteriales|f__Acidobacteriaceae|g__Acidobacteriaceae_unclassified	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0.780973563528703	0.45742846628454	0.294104242287474	0.925217276064002	0.912005406473699	0.324701086032335	0.653655584961866	0.994361008900274	0.575684872420106	0.321433421946104	0.732558568363962	0.753724364349246	0.364120219317372	0.342676086500523	0.464215717817992	0.020766074743664	0.125206103212401	0.975405453376227
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_graevenitzii	1000	10	1000	10	1000	10	1000	10	1000	10	1000	10	1000	10	1000	10	1000	10	1000	10	581	402	462	524	0.693458589746236	0.923831655297736	0.106168664177271	0.66410256174023	0.959540189801898	0.748668207740785	0.429255189423494	0.372893117677059	0.694941020065883	0.559660793106545	0.814793082241838	0.942706115346801	0.951534660557103	0.291189819417108
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_odontolyticus	10	1000	10	1000	10	1000	10	1000	10	1000	10	1000	10	1000	10	1000	10	1000	10	1000	361	983	539	937	0.7636816667753	0.264441235043825	0.42553759894296	0.293084744443129	0.75286244116916	0.222946822590731	0.275048640082039	0.140380859661002	0.959495698433555	0.682079722057482	0.798538239945415	0.132732510184966	0.260515185543622	0.311832237411965
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_turicensis	10	10	10	10	10	10	10	10	10	10	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	34	746	176	823	0.118204360691911	0.848279869231651	0.978028874101014	0.568357084570537	0.119892017460958	0.736614133455312	0.660074487079278	0.720325070828569	0.381373483988285	0.163911958595967	0.813995832690564	0.476196524696965	0.850422592855974	0.604119707870404
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Micrococcaceae|g__Rothia|s__Rothia_mucilaginosa	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	10	10	10	10	10	10	10	10	10	10	128	470	185	311	0.380585467620596	0.525561618896907	0.868891661384326	0.71459737217667	0.306322031871052	0.216750708600294	0.0309047031322279	0.940375548061001	0.290811899475112	0.925217450641007	0.795120257551712	0.565550818740494	0.131467827142929	0.897814222909291
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Micrococcaceae|g__Rothia|s__Rothia_unclassified	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0.645488858034253	0.198715021224713	0.20889345091028	0.0265166064049117	0.461879001438928	0.72667646095275	0.468813237284411	0.221554307298285	0.795712338916474	0.149035421284738	0.597859821339801	0.132528169436081	0.831037304195247	0.565517604917384	0.419294855553657	0.81364311216662	0.705392877343203	0.544012283265615
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_adolescentis	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0.230422896192103	0.0443010270726329	0.649794923701228	0.730959475753917	0.778414306292588	0.730830167860347	0.025755524393884	0.638860439099155	0.420500992960161	0.554442126900299	0.123487868198444	0.102176778208469	0.274729895425375	0.191655794385829	0.805275908532962	0.240727539558225	0.522464215176135	0.711116051326936
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_angulatum	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0.424325859855454	0.16782888627914	0.209618664051315	0.944025163771102	0.784436711596443	0.964316249151558	0.0679199191636927	0.800733141204793	0.466801570057501	0.767744034397174	0.346937332913515	0.946849239175477	0.0202702812096826	0.904263980717785	0.788706886140915	0.972639393115624	0.0223771727466757	0.849177292010489
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_bifidum	0.025939078041751	0.336222703191596	0.382579719070092	0.16862909542293	0.454480306958453	0.0902164679417281	0.630910966423666	0.541126517025717	0.170533165770076	0.7461941423367	0.97792865126903	0.149134507968189	0.369652165187022	0.223061861396572	0.988118471094712	0.134470664152701	0.839391561693887	0.294329160801627	0.319833585465002	0.174789740678988	0.99124690511672	0.658360160706232	0.399987849076818	0.00103992769615464	0.132291784989361	0.928173163793227	0.488611872926682	0.281443845043478	0.147861133868034	0.983526770030243	0.00298118643101527	0.310465784647406	0.438262933755889	0.987892947625112	0.14667111737096	0.0321660394532185	0.664510045896987	0.346302842286603
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_catenulatum	0.944878235102132	0.343704769472746	0.865224670055819	0.725015948808977	0.432591317856395	0.308199883432307	0.666739135473041	0.224352729328456	0.406319789080202	0.218272453901607	0.304454852934734	0.737295688524201	0.511366383682215	0.838789246077568	0.308014592196118	0.433473926491315	0.72071329060857	0.401359629753892	0.016079485344868	0.776851754547434	0.910737781289226	0.420333371484234	0.0865334549924085	0.848862101483723	0.155896466533899	0.450389590279984	0.534729312704948	0.757631107934889	0.133109688259092	0.931457675460348	0.622044187778527	0.0881995180700283	0.596487242174485	0.891698055184599	0.484273506385454	0.616851232239677	0.572006042010368	0.776783517039467
